id,user_id,date,amount,merchant,description,channel,raw_entry
1,demo,2024-01-01,149.00,GOOGLE*YOUTUBE PREM,RECURRING CHARGE - GOOGLE*YOUTUBE PREM,CARD,"2024-01-01,149.00,GOOGLE*YOUTUBE PREM,CARD"
2,demo,2024-01-02,999.00,FITLIFE GYM DD,DIRECT DEBIT - FITLIFE GYM DD,DIRECT_DEBIT,"2024-01-02,999.00,FITLIFE GYM DD,DIRECT_DEBIT"
3,demo,2024-01-06,119.00,SPOTIFY PREMIUM,RECURRING CHARGE - SPOTIFY PREMIUM,CARD,"2024-01-06,119.00,SPOTIFY PREMIUM,CARD"
4,demo,2024-01-08,1499.00,AMAZON PRIME*MEMBER,UPI AUTOPAY - AMAZON PRIME*MEMBER,UPI,"2024-01-08,1499.00,AMAZON PRIME*MEMBER,UPI"
5,demo,2024-01-13,499.00,NETFLIX.COM/BILL,RECURRING CHARGE - NETFLIX.COM/BILL,CARD,"2024-01-13,499.00,NETFLIX.COM/BILL,CARD"
6,demo,2024-01-18,199.00,AUDIBLE.IN*MEMBER,RECURRING CHARGE - AUDIBLE.IN*MEMBER,CARD,"2024-01-18,199.00,AUDIBLE.IN*MEMBER,CARD"
7,demo,2024-01-20,299.00,HOTSTAR*PREMIUM,RECURRING CHARGE - HOTSTAR*PREMIUM,CARD,"2024-01-20,299.00,HOTSTAR*PREMIUM,CARD"
8,demo,2024-01-26,75.00,APPLE.COM/BILL,RECURRING CHARGE - APPLE.COM/BILL,CARD,"2024-01-26,75.00,APPLE.COM/BILL,CARD"
9,demo,2024-02-02,999.00,FITLIFE GYM DD,DIRECT DEBIT - FITLIFE GYM DD,DIRECT_DEBIT,"2024-02-02,999.00,FITLIFE GYM DD,DIRECT_DEBIT"
10,demo,2024-02-02,726.57,BIGBASKET ORDER,UPI AUTOPAY - BIGBASKET ORDER,UPI,"2024-02-02,726.57,BIGBASKET ORDER,UPI"
11,demo,2024-02-05,149.00,GOOGLE*YOUTUBE PREM,RECURRING CHARGE - GOOGLE*YOUTUBE PREM,CARD,"2024-02-05,149.00,GOOGLE*YOUTUBE PREM,CARD"
12,demo,2024-02-07,119.00,SPOTIFY PREMIUM,RECURRING CHARGE - SPOTIFY PREMIUM,CARD,"2024-02-07,119.00,SPOTIFY PREMIUM,CARD"
